,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family,Alone
836,3,1.0,-0.6753224764724306,0,0,-0.4790743090093118,2.0,0,0
746,3,1.0,-1.0538900804898972,1,1,-0.24327848229898472,2.0,2,1
469,3,0.0,-2.2085212727431704,2,1,-0.26345873872605113,0.0,3,1
535,2,0.0,-1.7353117677213372,0,2,-0.1211835558470354,2.0,2,1
474,3,0.0,-0.5996089556689372,0,0,-0.45516405257913845,2.0,0,0
315,3,0.0,-0.29675487245496396,0,0,-0.4955225305178303,2.0,0,0
357,2,0.0,0.6118073771869559,0,0,-0.3908098517617568,2.0,0,0
172,3,0.0,-2.189592892542297,1,1,-0.4287956182963992,2.0,2,1
792,3,0.0,-0.01668165152980672,8,2,0.7599348300478654,2.0,10,1
549,2,1.0,-1.6595982469178439,1,1,0.09248256544387591,2.0,2,1
175,3,1.0,-0.9024630388829106,1,1,-0.4955225305178303,2.0,2,1
289,3,0.0,-0.5996089556689372,0,0,-0.4976429124072125,1.0,0,0
280,3,1.0,2.6560724388812758,0,0,-0.4976429124072125,1.0,0,0
710,1,0.0,-0.4481819140619506,0,0,0.3520197506027845,0.0,0,0
91,3,1.0,-0.751035997275924,0,0,-0.4955225305178303,2.0,0,0
141,3,0.0,-0.5996089556689372,0,0,-0.4976429124072125,2.0,0,0
876,3,1.0,-0.751035997275924,0,0,-0.4549951545975466,2.0,0,0
837,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
252,1,1.0,2.428931876470796,0,0,-0.11507880952443791,2.0,0,0
455,3,1.0,-0.069614310044484,0,0,-0.4946760056944301,0.0,0,0
476,2,1.0,0.3089532939729826,1,0,-0.22801661649249105,2.0,1,1
629,3,1.0,-0.01668165152980672,0,0,-0.4979827432858371,1.0,0,0
625,1,1.0,2.3532183556673023,0,0,0.0023520907370468917,2.0,0,0
764,3,1.0,-1.0538900804898972,0,0,-0.49713418354699607,2.0,0,0
411,3,1.0,-0.01668165152980672,0,0,-0.515788253393413,1.0,0,0
873,3,1.0,1.293229064418396,0,0,-0.4722064693963897,2.0,0,0
727,3,0.0,-0.01668165152980672,0,0,-0.49789727683732066,1.0,0,0
122,2,1.0,0.19538301276774264,1,0,-0.043433506682434106,0.0,1,1
706,2,0.0,1.1418020228114092,0,0,-0.3806352745574277,2.0,0,0
583,1,1.0,0.46038033557996927,0,0,0.1611609615730974,0.0,0,0
22,3,0.0,-1.1296036012933905,0,0,-0.49196142849631513,1.0,0,0
821,3,1.0,-0.22104135165147065,0,0,-0.4790743090093118,2.0,0,0
634,3,0.0,-1.5838847261143505,3,2,-0.08760745107274936,2.0,5,1
831,2,1.0,-2.202464191078891,1,1,-0.27380221391197207,2.0,2,1
242,2,1.0,-0.069614310044484,0,0,-0.4416827377834024,2.0,0,0
123,2,0.0,0.19538301276774264,0,0,-0.3908098517617568,2.0,0,0
44,3,0.0,-0.8267495180794172,0,0,-0.49501380165761383,1.0,0,0
257,1,0.0,0.006099210759009327,0,0,1.1048529972746224,2.0,0,0
224,1,1.0,0.6118073771869559,1,0,1.176075037704926,2.0,1,1
716,1,0.0,0.6118073771869559,0,0,3.974592497755648,0.0,0,0
495,3,1.0,-0.01668165152980672,0,0,-0.3611346798876105,0.0,0,0
89,3,1.0,-0.4481819140619506,0,0,-0.491538166084615,2.0,0,0
19,3,0.0,-0.01668165152980672,0,0,-0.508326218471758,0.0,0,0
305,1,1.0,-2.1956499742065763,1,2,2.42856549155784,2.0,3,1
332,1,1.0,0.6118073771869559,0,1,2.4674832493643986,2.0,1,1
322,2,0.0,0.006099210759009327,0,0,-0.40403680212738463,1.0,0,0
462,1,1.0,1.293229064418396,0,0,0.1280935856590278,2.0,0,0
576,2,0.0,0.3089532939729826,0,0,-0.3908098517617568,2.0,0,0
371,3,1.0,-0.9024630388829106,1,0,-0.5231648218665517,2.0,1,1
703,3,1.0,-0.3724683932584573,0,0,-0.4978118103888043,1.0,0,0
49,3,0.0,-0.9024630388829106,1,0,-0.29313391060019733,2.0,1,1
278,3,1.0,-1.7353117677213372,4,1,-0.06267973692214301,1.0,5,1
667,3,1.0,-0.01668165152980672,0,0,-0.49713418354699607,2.0,0,0
718,3,1.0,-0.01668165152980672,0,0,-0.3399369657401113,1.0,0,0
403,3,1.0,-0.14532783084797732,1,0,-0.33281476169708085,2.0,1,1
381,3,0.0,-2.189592892542297,0,2,-0.33501857511953853,0.0,2,1
774,2,0.0,1.8232237100428492,1,3,-0.1873183076751746,2.0,4,1
465,3,1.0,0.6118073771869559,0,0,-0.5118873204932732,2.0,0,0
240,3,0.0,-0.01668165152980672,1,0,-0.36121811142068605,0.0,1,1
288,2,1.0,0.9146614604009292,0,0,-0.3908098517617568,2.0,0,0
871,1,0.0,1.293229064418396,1,1,0.4140846715491922,2.0,2,1
309,1,0.0,0.006099210759009327,0,0,0.5031122220870718,0.0,0,0
132,3,0.0,1.293229064418396,1,0,-0.3602861201487695,2.0,1,1
425,3,1.0,-0.01668165152980672,0,0,-0.5078174896115416,2.0,0,0
508,3,1.0,-0.14532783084797732,0,0,-0.1969841560192873,2.0,0,0
685,2,1.0,-0.3724683932584573,1,2,0.19075270191416818,0.0,3,1
587,1,1.0,2.277504834863809,1,1,0.9563041700914174,0.0,2,1
754,2,0.0,1.3689425852218893,1,2,0.6673461774884706,2.0,3,1
338,3,1.0,1.1418020228114092,0,0,-0.491538166084615,2.0,0,0
830,3,0.0,-1.1296036012933905,1,0,-0.36121811142068605,0.0,1,1
360,3,1.0,0.7632344187939426,1,4,-0.08760745107274936,2.0,5,1
572,1,1.0,0.46038033557996927,0,0,-0.11838554711584491,2.0,0,0
58,2,0.0,-1.8867388093283237,1,2,-0.09065982423404807,2.0,3,1
655,2,1.0,-0.4481819140619506,2,0,0.8403139899620655,2.0,2,1
700,1,0.0,-0.9024630388829106,1,0,3.974592497755648,0.0,1,1
861,2,1.0,-0.6753224764724306,1,0,-0.42133358337474414,2.0,1,1
433,3,1.0,-0.9781765596864039,0,0,-0.5103611339126238,2.0,0,0
833,3,1.0,-0.523895434865444,0,0,-0.4955225305178303,2.0,0,0
191,2,1.0,-0.8267495180794172,0,0,-0.3908098517617568,2.0,0,0
496,1,0.0,1.8232237100428492,1,0,0.9373123042818167,0.0,1,1
527,1,1.0,-0.01668165152980672,0,0,3.8576703263543797,2.0,0,0
722,2,1.0,0.3089532939729826,0,0,-0.3908098517617568,2.0,0,0
55,1,1.0,-0.01668165152980672,0,0,0.06704612243305313,2.0,0,0
54,1,1.0,2.6560724388812758,0,1,0.6058754518507958,0.0,1,1
415,3,0.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
570,2,1.0,2.428931876470796,0,0,-0.4416827377834024,2.0,0,0
304,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
813,3,0.0,-1.8110252885248304,4,2,-0.01892905494352787,2.0,6,1
811,3,1.0,0.6875208979904492,0,0,-0.16391678010521768,2.0,0,0
522,3,1.0,-0.01668165152980672,0,0,-0.508326218471758,0.0,0,0
251,3,0.0,-0.069614310044484,1,1,-0.4424458310737271,2.0,2,1
422,3,1.0,-0.069614310044484,0,0,-0.4950992681061302,2.0,0,0
776,3,1.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
417,2,0.0,-0.9024630388829106,0,2,-0.3908098517617568,2.0,2,1
234,2,1.0,-0.4481819140619506,0,0,-0.4416827377834024,2.0,0,0
77,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
326,3,1.0,2.3532183556673023,0,0,-0.528421008450308,2.0,0,0
48,3,1.0,-0.01668165152980672,2,0,-0.21419547081813037,0.0,2,1
841,2,1.0,-1.0538900804898972,0,0,-0.4416827377834024,2.0,0,0
129,3,1.0,1.1418020228114092,0,0,-0.5134135070739225,2.0,0,0
690,1,1.0,0.08181273156250266,1,0,0.5045529422192049,2.0,1,1
294,3,1.0,-0.4481819140619506,0,0,-0.4946760056944301,2.0,0,0
51,3,1.0,-0.6753224764724306,0,0,-0.49662545468677954,2.0,0,0
21,2,1.0,0.3089532939729826,0,0,-0.3908098517617568,2.0,0,0
510,3,1.0,-0.069614310044484,0,0,-0.4976429124072125,1.0,0,0
571,1,0.0,1.7475101892393559,2,0,0.39220933055988455,2.0,2,1
820,1,0.0,1.6717966684358625,1,1,1.24729707813523,2.0,2,1
713,3,1.0,-0.069614310044484,0,0,-0.4623717230706852,2.0,0,0
85,3,0.0,0.2332397731694893,3,0,-0.33281476169708085,2.0,3,1
562,2,1.0,-0.14532783084797732,0,0,-0.3806352745574277,2.0,0,0
446,2,0.0,-1.2810306429003773,0,1,-0.2585403481054784,2.0,1,1
233,3,0.0,-1.8867388093283237,4,2,-0.016639775072553806,2.0,6,1
497,3,1.0,-0.01668165152980672,0,0,-0.34807662750357454,2.0,0,0
401,3,1.0,-0.29675487245496396,0,0,-0.491538166084615,2.0,0,0
303,2,0.0,-0.01668165152980672,0,0,-0.40403680212738463,1.0,0,0
592,3,1.0,1.293229064418396,0,0,-0.5078174896115416,2.0,0,0
418,2,1.0,0.006099210759009327,0,0,-0.3908098517617568,2.0,0,0
728,2,1.0,-0.3724683932584573,1,0,-0.12627084444919995,2.0,1,1
416,2,0.0,0.3089532939729826,1,1,0.005998659207078477,2.0,2,1
68,3,0.0,-0.9781765596864039,4,2,-0.49408181038569726,2.0,6,1
692,3,1.0,-0.01668165152980672,0,0,0.49429289856635944,2.0,0,0
193,2,1.0,-2.0381658509353104,1,1,-0.12627084444919995,2.0,2,1
72,2,1.0,-0.6753224764724306,0,0,0.8403139899620655,2.0,0,0
589,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
468,3,1.0,-0.01668165152980672,0,0,-0.4981516412674289,1.0,0,0
292,2,1.0,0.46038033557996927,0,0,-0.3933534960628391,0.0,0,0
157,3,1.0,0.006099210759009327,0,0,-0.491538166084615,2.0,0,0
6,1,1.0,1.8232237100428492,0,0,0.4000091614447232,2.0,0,0
78,2,1.0,-2.202464191078891,0,2,-0.0652233812232253,2.0,2,1
423,3,0.0,-0.14532783084797732,1,1,-0.36232103558963535,2.0,2,1
714,2,1.0,1.6717966684358625,0,0,-0.3908098517617568,2.0,0,0
217,2,1.0,0.9146614604009292,1,0,-0.10592169004054174,2.0,1,1
128,3,0.0,-0.01668165152980672,1,1,-0.20037636005921058,0.0,2,1
145,2,1.0,-0.8267495180794172,1,1,0.09248256544387591,2.0,2,1
293,3,0.0,-0.4481819140619506,0,0,-0.4752588425576884,2.0,0,0
775,3,1.0,-0.9024630388829106,0,0,-0.4976429124072125,2.0,0,0
160,3,1.0,1.0660885020079158,0,1,-0.3277274730949163,2.0,1,1
206,3,1.0,0.157526252365996,1,0,-0.33281476169708085,2.0,1,1
271,3,1.0,-0.3724683932584573,0,0,-0.6553488590743137,2.0,0,0
341,1,0.0,-0.4481819140619506,3,2,4.6964787504027985,2.0,5,1
113,3,0.0,-0.751035997275924,1,0,-0.4554184170092467,2.0,1,1
388,3,1.0,-0.01668165152980672,0,0,-0.4980661748189126,1.0,0,0
579,3,1.0,0.157526252365996,0,0,-0.49408181038569726,2.0,0,0
653,3,0.0,-0.01668165152980672,0,0,-0.49603125937804676,1.0,0,0
256,1,0.0,-0.01668165152980672,0,0,0.9563041700914174,0.0,0,0
566,3,1.0,-0.8267495180794172,0,0,-0.4946760056944301,2.0,0,0
12,3,1.0,-0.751035997275924,0,0,-0.491538166084615,2.0,0,0
279,3,0.0,0.38466681477647596,1,1,-0.24327848229898472,2.0,2,1
274,3,0.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
457,1,0.0,-0.01668165152980672,1,0,0.4000091614447232,2.0,1,1
656,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,2.0,0,0
804,3,1.0,-0.22104135165147065,0,0,-0.5134135070739225,2.0,0,0
216,3,0.0,-0.22104135165147065,0,0,-0.49408181038569726,2.0,0,0
686,3,1.0,-1.205317122096884,4,1,0.15225820651930944,2.0,5,1
253,3,1.0,0.006099210759009327,1,0,-0.3277274730949163,2.0,1,1
249,2,1.0,1.8232237100428492,1,0,-0.12627084444919995,2.0,1,1
88,1,0.0,-0.523895434865444,3,2,4.6964787504027985,2.0,5,1
125,3,1.0,-1.3567441637038704,1,0,-0.4265897699585005,0.0,1,1
612,3,0.0,-0.01668165152980672,1,0,-0.3399369657401113,1.0,1,1
93,3,1.0,-0.29675487245496396,1,2,-0.2366650071161708,2.0,3,1
866,2,0.0,-0.22104135165147065,1,0,-0.37334417253280544,0.0,1,1
800,2,1.0,0.3089532939729826,0,0,-0.3908098517617568,2.0,0,0
695,2,1.0,1.6717966684358625,0,0,-0.3806352745574277,2.0,0,0
198,3,0.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
364,3,1.0,-0.01668165152980672,1,0,-0.3399369657401113,1.0,1,1
603,3,1.0,1.0660885020079158,0,0,-0.491538166084615,2.0,0,0
47,3,0.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
668,3,1.0,0.9903749812044226,0,0,-0.491538166084615,2.0,0,0
211,2,0.0,0.38466681477647596,0,0,-0.22801661649249105,2.0,0,0
270,1,1.0,-0.01668165152980672,0,0,-0.024525072405908854,2.0,0,0
885,3,0.0,0.6875208979904492,0,5,-0.06267973692214301,1.0,5,1
152,3,1.0,1.9367939912480892,0,0,-0.491538166084615,2.0,0,0
441,3,1.0,-0.751035997275924,0,0,-0.4620318921920606,2.0,0,0
356,1,0.0,-0.5996089556689372,0,1,0.4638546334018884,2.0,1,1
834,3,1.0,-0.9024630388829106,0,0,-0.4864508774824504,2.0,0,0
306,1,0.0,-0.01668165152980672,0,0,1.6010325339672582,0.0,0,0
461,3,1.0,0.3089532939729826,0,0,-0.491538166084615,2.0,0,0
707,1,1.0,0.9146614604009292,0,0,-0.12042046255671068,2.0,0,0
393,1,0.0,-0.523895434865444,1,0,1.6497016065664465,0.0,1,1
391,3,1.0,-0.6753224764724306,0,0,-0.4967109211352959,2.0,0,0
45,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
276,3,0.0,1.1418020228114092,0,0,-0.4976429124072125,2.0,0,0
888,3,0.0,-0.01668165152980672,1,2,-0.17816118819127844,2.0,3,1
799,3,0.0,0.006099210759009327,1,1,-0.16391678010521768,2.0,2,1
15,2,0.0,1.8989372308463424,0,0,-0.32976238853578216,2.0,0,0
169,3,1.0,-0.14532783084797732,0,0,0.49429289856635944,2.0,0,0
96,1,1.0,3.1103535637022355,0,0,0.049834807634210075,0.0,0,0
13,3,1.0,0.6875208979904492,1,5,-0.01892905494352787,2.0,6,1
760,3,1.0,-0.01668165152980672,0,0,-0.3602861201487695,2.0,0,0
76,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,2.0,0,0
244,3,1.0,0.006099210759009327,0,0,-0.508326218471758,0.0,0,0
329,1,0.0,-1.0538900804898972,0,1,0.5244788342161629,0.0,1,1
84,2,0.0,-0.9781765596864039,0,0,-0.4416827377834024,2.0,0,0
440,2,0.0,1.1418020228114092,1,1,-0.1211835558470354,2.0,2,1
378,3,1.0,-0.751035997275924,0,0,-0.5736978770095725,0.0,0,0
107,3,1.0,-0.01668165152980672,0,0,-0.49713418354699607,2.0,0,0
40,3,0.0,0.7632344187939426,1,0,-0.462540621052277,2.0,1,1
501,3,0.0,-0.6753224764724306,0,0,-0.4976429124072125,1.0,0,0
432,2,0.0,0.9146614604009292,1,0,-0.12627084444919995,2.0,1,1
387,2,0.0,0.46038033557996927,0,0,-0.3908098517617568,2.0,0,0
156,3,0.0,-1.0538900804898972,0,0,-0.4979827432858371,1.0,0,0
26,3,1.0,-0.01668165152980672,0,0,-0.508326218471758,0.0,0,0
327,2,0.0,0.46038033557996927,0,0,-0.3908098517617568,2.0,0,0
325,1,0.0,0.46038033557996927,0,0,2.1046741055815494,0.0,0,0
140,3,0.0,-0.01668165152980672,0,2,-0.3451097207907922,0.0,2,1
60,3,1.0,-0.5996089556689372,0,0,-0.5082407520232417,0.0,0,0
650,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,2.0,0,0
174,1,1.0,1.9746507516498357,0,0,-0.030715285177022714,0.0,0,0
622,3,1.0,-0.751035997275924,1,1,-0.33501857511953853,0.0,2,1
155,1,1.0,1.5960831476323691,0,1,0.593665959205601,0.0,1,1
340,2,1.0,-2.1138793717388036,1,1,-0.12627084444919995,2.0,2,1
262,1,1.0,1.6717966684358625,1,1,0.9654612895753136,2.0,2,1
600,2,0.0,-0.4481819140619506,2,1,-0.10592169004054174,2.0,3,1
851,3,1.0,3.337494126112716,0,0,-0.49713418354699607,2.0,0,0
616,3,1.0,0.3089532939729826,1,1,-0.36232103558963535,2.0,2,1
529,2,1.0,-0.523895434865444,2,1,-0.42133358337474414,2.0,3,1
863,3,0.0,-0.01668165152980672,8,2,0.7599348300478654,2.0,10,1
102,1,1.0,-0.6753224764724306,0,1,0.9173864122848584,2.0,1,1
475,1,1.0,-0.01668165152980672,0,0,0.4028071701759138,2.0,0,0
769,3,1.0,0.157526252365996,0,0,-0.4851790553319093,2.0,0,0
70,2,1.0,0.157526252365996,0,0,-0.4416827377834024,2.0,0,0
3,1,0.0,0.38466681477647596,1,0,0.42519124002543784,2.0,1,1
28,3,0.0,-0.01668165152980672,0,0,-0.49501380165761383,1.0,0,0
588,3,1.0,-0.5996089556689372,0,0,-0.491538166084615,2.0,0,0
367,3,0.0,-0.01668165152980672,0,0,-0.5082407520232417,0.0,0,0
281,3,1.0,-0.14532783084797732,0,0,-0.4955225305178303,2.0,0,0
316,2,0.0,-0.4481819140619506,1,0,-0.12627084444919995,2.0,1,1
90,3,1.0,-0.069614310044484,0,0,-0.491538166084615,2.0,0,0
829,1,0.0,2.428931876470796,0,0,0.972583493618344,2.0,0,0
39,3,0.0,-1.205317122096884,1,0,-0.4265897699585005,0.0,1,1
755,2,1.0,-2.2145783544074495,1,1,-0.3602861201487695,2.0,2,1
370,1,1.0,-0.3724683932584573,1,0,0.4728428549041927,0.0,1,1
538,3,1.0,-0.01668165152980672,0,0,-0.3602861201487695,2.0,0,0
858,3,0.0,-0.4481819140619506,0,3,-0.26345873872605113,0.0,3,1
227,3,1.0,-0.7131792368741773,0,0,-0.5078174896115416,2.0,0,0
212,3,1.0,-0.5996089556689372,0,0,-0.5078174896115416,2.0,0,0
843,3,1.0,0.3468100543747293,0,0,-0.5243511775685764,0.0,0,0
654,3,0.0,-0.9024630388829106,0,0,-0.5179920668158707,1.0,0,0
50,3,1.0,-1.7353117677213372,4,1,0.15225820651930944,2.0,5,1
840,3,1.0,-0.751035997275924,0,0,-0.49408181038569726,2.0,0,0
590,3,1.0,0.38466681477647596,0,0,-0.5103611339126238,2.0,0,0
875,3,0.0,-1.1296036012933905,0,0,-0.508326218471758,0.0,0,0
777,3,0.0,-1.8867388093283237,0,0,-0.40149315782630235,2.0,0,0
420,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,0.0,0,0
705,2,1.0,0.6875208979904492,0,0,-0.12627084444919995,2.0,0,0
190,2,0.0,0.157526252365996,0,0,-0.3908098517617568,2.0,0,0
824,3,1.0,-2.1138793717388036,4,1,0.15225820651930944,2.0,5,1
681,1,1.0,-0.22104135165147065,0,0,0.9060254793785048,0.0,0,0
27,1,1.0,-0.8267495180794172,3,2,4.6964787504027985,2.0,5,1
640,3,1.0,-0.751035997275924,0,0,-0.4955225305178303,2.0,0,0
250,3,1.0,-0.01668165152980672,0,0,-0.5078174896115416,2.0,0,0
258,1,0.0,0.38466681477647596,0,0,9.770117139790026,0.0,0,0
177,1,0.0,1.5203696268288758,0,0,-0.07107376311571456,0.0,0,0
883,2,1.0,-0.14532783084797732,0,0,-0.4416827377834024,2.0,0,0
358,3,0.0,-0.01668165152980672,0,0,-0.49501380165761383,1.0,0,0
482,3,1.0,1.5203696268288758,0,0,-0.491538166084615,2.0,0,0
729,3,0.0,-0.3724683932584573,1,0,-0.49408181038569726,2.0,1,1
798,3,1.0,0.006099210759009327,0,0,-0.5082407520232417,0.0,0,0
569,3,1.0,0.157526252365996,0,0,-0.4955225305178303,2.0,0,0
541,3,0.0,-1.5838847261143505,4,2,-0.01892905494352787,2.0,6,1
679,1,1.0,0.46038033557996927,0,1,9.770117139790026,0.0,1,1
319,1,0.0,0.7632344187939426,1,1,2.081612408890217,0.0,2,1
803,3,1.0,-2.2335067346083233,0,1,-0.4820412157220942,0.0,1,1
543,2,1.0,0.157526252365996,1,0,-0.12627084444919995,2.0,1,1
439,2,1.0,0.08181273156250266,0,0,-0.4416827377834024,2.0,0,0
470,3,1.0,-0.01668165152980672,0,0,-0.5078174896115416,2.0,0,0
757,2,1.0,-0.9024630388829106,0,0,-0.42133358337474414,2.0,0,0
599,1,1.0,1.4446561060253824,1,0,0.5031122220870718,0.0,1,1
379,3,1.0,-0.8267495180794172,0,0,-0.49713418354699607,2.0,0,0
854,2,0.0,1.0660885020079158,1,0,-0.12627084444919995,2.0,1,1
832,3,1.0,-0.01668165152980672,0,0,-0.5082407520232417,0.0,0,0
424,3,1.0,-0.9024630388829106,1,1,-0.24404157558930945,2.0,2,1
130,3,1.0,0.2332397731694893,0,0,-0.4946760056944301,0.0,0,0
672,2,1.0,3.0346400428987423,0,0,-0.4416827377834024,2.0,0,0
862,1,0.0,1.3689425852218893,0,0,-0.12771156458133293,2.0,0,0
267,3,1.0,-0.3724683932584573,1,0,-0.49713418354699607,2.0,1,1
817,2,1.0,0.08181273156250266,1,1,0.09765532049455677,0.0,2,1
660,1,1.0,1.5203696268288758,2,0,2.064315627642858,2.0,2,1
410,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,2.0,0,0
431,3,0.0,-0.01668165152980672,1,0,-0.3277274730949163,2.0,1,1
759,1,0.0,0.2332397731694893,0,0,1.1048529972746224,2.0,0,0
540,1,0.0,0.46038033557996927,0,2,0.78944110394042,2.0,2,1
324,3,1.0,-0.01668165152980672,8,2,0.7599348300478654,2.0,10,1
887,1,0.0,-0.8267495180794172,0,0,-0.04487422681456708,2.0,0,0
81,3,1.0,-0.069614310044484,0,0,-0.4620318921920606,2.0,0,0
613,3,1.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
238,2,1.0,-0.8267495180794172,0,0,-0.4416827377834024,2.0,0,0
643,3,1.0,-0.01668165152980672,0,0,0.49429289856635944,2.0,0,0
133,2,0.0,-0.069614310044484,1,0,-0.12627084444919995,2.0,1,1
259,2,0.0,1.5203696268288758,0,1,-0.12627084444919995,2.0,1,1
539,1,0.0,-0.5996089556689372,0,2,0.3519342841542682,0.0,2,1
456,1,1.0,2.6560724388812758,0,0,-0.11507880952443791,2.0,0,0
693,3,1.0,-0.3724683932584573,0,0,-0.508326218471758,0.0,0,0
688,3,1.0,-0.9024630388829106,0,0,-0.4967109211352959,2.0,0,0
408,3,1.0,-0.6753224764724306,0,0,-0.49713418354699607,2.0,0,0
708,1,0.0,-0.5996089556689372,0,0,2.42856549155784,2.0,0,0
43,2,0.0,-2.0381658509353104,1,2,0.19075270191416818,0.0,3,1
95,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
99,2,1.0,0.3089532939729826,1,0,-0.12627084444919995,2.0,1,1
126,3,1.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
135,2,1.0,-0.523895434865444,0,0,-0.34917955167252385,0.0,0,0
782,1,1.0,-0.069614310044484,0,0,-0.04487422681456708,2.0,0,0
350,3,1.0,-0.523895434865444,0,0,-0.46762790965444156,2.0,0,0
